borough,outlet_counts,"rate_per_100,000"
Barking and Dagenham,182.0,87.4
Barnet,262.0,68.1
Bexley,206.0,84
Brent,326.0,99.9
Bromley,261.0,79.7
Camden,434.0,174.2
City of London*,419.0,*
Croydon,394.0,102.8
Ealing,269.0,78
Enfield,266.0,80.1
Greenwich,249.0,89.2
Hackney,278.0,101.7
Hammersmith and Fulham,163.0,89.7
Haringey,210.0,77.2
Harrow,174.0,70
Havering,246.0,97.1
Hillingdon,261.0,87
Hounslow,201.0,74.9
Islington,248.0,106.9
Kensington and Chelsea,110.0,70.2
Kingston upon Thames,140.0,80.6
Lambeth,364.0,112.7
Lewisham,318.0,106.4
Merton,193.0,93.4
Newham,310.0,90
Redbridge,201.0,66.7
Richmond upon Thames,125.0,64
Southwark,327.0,104.9
Sutton,181.0,89.6
Tower Hamlets,402.0,133.6
Waltham Forest,278.0,101.4
Wandsworth,274.0,85.2
Westminster,291.0,120.3
